Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
200.0000       6.4167         6.0000         5.3997         478.1554       173.1649       115.8024       -13.7079       27.9590        387.9049       112.6172       239.3061       234.2828       236.7945       138.1756       127.9428       133.0592       347.6213       324.7184       336.2045       0.2634         0.5619         14.8121        0.0385         0.4213         8.7584         6.6222         279.6570       
200.0000       6.3895         7.0000         5.4227         483.7052       176.4937       119.8171       -13.4524       28.5034        393.1247       114.6083       243.6434       238.6611       241.1523       139.5250       129.4449       134.4849       351.4817       328.8760       340.2120       0.2649         0.5577         14.7652        0.0375         0.4102         8.8055         6.6686         281.0028       
200.0000       6.3623         8.0000         5.4459         489.2146       179.8244       123.8204       -13.1960       29.0381        398.2827       116.5704       247.9602       243.0157       245.4880       140.8503       130.9113       135.8808       355.2802       332.9481       344.1459       0.2664         0.5535         14.7169        0.0366         0.4000         8.8513         6.7140         282.3068       
200.0000       6.3351         9.0000         5.4693         494.6835       183.1569       127.8124       -12.9388       29.5633        403.3790       118.5034       252.2566       247.3466       249.8016       142.1516       132.3429       137.2473       359.0171       336.9361       348.0072       0.2678         0.5494         14.6670        0.0357         0.3904         8.8956         6.7582         283.5700       
200.0000       6.3079         10.0000        5.4929         500.1122       186.4915       131.7931       -12.6806       30.0789        408.4137       120.4075       256.5326       251.6541       254.0934       143.4291       133.7405       138.5848       362.6927       340.8418       351.7967       0.2692         0.5454         14.6156        0.0350         0.3816         8.9386         6.8014         284.7937       
200.0000       6.2844         11.0000        5.5134         505.5017       189.8282       135.7629       -12.4216       30.5852        413.3877       122.2830       260.7888       255.9387       258.3637       144.6830       135.1049       139.8939       366.3078       344.6670       355.5158       0.2707         0.5415         14.5629        0.0342         0.3734         8.9829         6.8455         286.0068       
200.0000       6.2610         12.0000        5.5341         510.8512       193.1669       139.7214       -12.1616       31.0820        418.3004       124.1297       265.0247       260.1999       262.6123       145.9132       136.4365       141.1748       369.8619       348.4125       359.1647       0.2721         0.5376         14.5088        0.0336         0.3658         9.0259         6.8887         287.1826       
200.0000       6.2375         13.0000        5.5549         516.1608       196.5077       143.6688       -11.9008       31.5694        423.1517       125.9476       269.2404       264.4380       266.8392       147.1196       137.7359       142.4277       373.3552       352.0794       362.7440       0.2734         0.5338         14.4533        0.0329         0.3588         9.0677         6.9309         288.3218       
200.0000       6.2140         14.0000        5.5759         521.4307       199.8504       147.6051       -11.6391       32.0473        427.9420       127.7367       273.4361       268.6530       271.0445       148.3022       139.0037       143.6530       376.7878       355.6690       366.2543       0.2748         0.5300         14.3964        0.0324         0.3523         9.1083         6.9721         289.4253       
200.0000       6.1906         15.0000        5.5970         526.6610       203.1952       151.5302       -11.3764       32.5157        432.6711       129.4972       277.6116       272.8450       275.2283       149.4613       140.2404       144.8509       380.1600       359.1822       369.6963       0.2761         0.5263         14.3383        0.0318         0.3462         9.1478         7.0125         290.4941       
200.0000       6.1686         16.0000        5.6170         531.8521       206.5422       155.4443       -11.1129       32.9749        437.3396       131.2290       281.7672       277.0142       279.3907       150.5968       141.4466       146.0217       383.4720       362.6204       373.0708       0.2774         0.5226         14.2788        0.0313         0.3406         9.1871         7.0527         291.5395       
200.0000       6.1465         17.0000        5.6371         537.0037       209.8913       159.3473       -10.8485       33.4246        441.9471       132.9323       285.9029       281.1606       283.5318       151.7087       142.6226       147.1657       386.7238       365.9843       376.3780       0.2788         0.5190         14.2181        0.0309         0.3354         9.2253         7.0921         292.5515       
