Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
200.0000       10.7957        14.0000        9.7743         282.5562       176.9459       134.6638       212.1493       212.1493       212.1493       101.9203       83.1217        92.5210        263.5554       220.5594       242.3346       0.3096         0.4361         7.7056         0.1016         1.1308         5.8588         4.6588         146.5707       
200.0000       10.6987        16.0000        9.8629         299.1365       185.4100       142.9732       223.3188       223.3188       223.3188       108.5292       89.0392        98.7842        280.1973       235.7815       258.2709       0.3072         0.4423         8.3100         0.0986         1.0945         5.9997         4.7584         151.1770       
200.0000       10.6076        18.0000        9.9477         315.6655       193.8323       151.2509       234.4433       234.4433       234.4433       115.1172       94.9373        105.0272       296.7767       250.9394       274.1441       0.3051         0.4480         8.8979         0.0961         1.0628         6.1355         4.8547         155.6162       
200.0000       10.5212        20.0000        10.0293        332.1510       202.2232       159.5000       245.5324       245.5324       245.5324       121.6855       100.8164       111.2510       313.2996       266.0373       289.9593       0.3032         0.4531         9.4700         0.0938         1.0350         6.2667         4.9479         159.9032       
200.0000       10.4389        22.0000        10.1084        348.5993       210.5915       167.7234       256.5941       256.5941       256.5941       128.2356       106.6770       117.4563       329.7712       281.0788       305.7208       0.3014         0.4578         10.0270        0.0918         1.0105         6.3935         5.0383         164.0508       
200.0000       10.3604        24.0000        10.1850        365.0123       218.9391       175.9225       267.6302       267.6302       267.6302       134.7682       112.5201       123.6442       346.1945       296.0683       321.4323       0.2998         0.4620         10.5700        0.0900         0.9886         6.5164         5.1261         168.0708       
200.0000       10.2853        26.0000        10.2593        381.3905       227.2660       184.0987       278.6408       278.6408       278.6408       141.2841       118.3470       129.8155       362.5719       311.0093       337.0968       0.2984         0.4659         11.0999        0.0883         0.9691         6.6356         5.2115         171.9739       
200.0000       10.2136        28.0000        10.3313        397.7345       235.5723       192.2529       289.6264       289.6264       289.6264       147.7842       124.1585       135.9713       378.9059       325.9052       352.7171       0.2970         0.4695         11.6177        0.0869         0.9514         6.7514         5.2947         175.7693       
200.0000       10.1451        30.0000        10.4011        414.0447       243.8579       200.3862       300.5868       300.5868       300.5868       154.2691       129.9556       142.1123       395.1985       340.7590       368.2957       0.2958         0.4728         12.1243        0.0855         0.9355         6.8642         5.3758         179.4653       
200.0000       10.0796        32.0000        10.4687        430.3216       252.1228       208.4997       311.5224       311.5224       311.5224       160.7396       135.7392       148.2394       411.4517       355.5731       383.8349       0.2946         0.4759         12.6203        0.0843         0.9209         6.9741         5.4550         183.0690       
200.0000       10.0169        34.0000        10.5343        446.5654       260.3669       216.5946       322.4331       322.4331       322.4331       167.1965       141.5099       154.3532       427.6676       370.3499       399.3369       0.2936         0.4787         13.1065        0.0832         0.9076         7.0813         5.5325         186.5868       
200.0000       9.9568         36.0000        10.5978        462.7766       268.5901       224.6718       333.3189       333.3189       333.3189       173.6404       147.2686       160.4545       443.8479       385.0915       414.8035       0.2926         0.4814         13.5835        0.0822         0.8954         7.1860         5.6082         190.0245       
200.0000       9.8992         38.0000        10.6595        478.9554       276.7922       232.7324       344.1800       344.1800       344.1800       180.0721       153.0159       166.5440       459.9944       399.7999       430.2367       0.2917         0.4839         14.0520        0.0812         0.8841         7.2884         5.6823         193.3871       
200.0000       9.8439         40.0000        10.7194        495.1021       284.9732       240.7774       355.0162       355.0162       355.0162       186.4922       158.7525       172.6223       476.1090       414.4769       445.6383       0.2908         0.4862         14.5124        0.0803         0.8737         7.3885         5.7549         196.6792       
200.0000       9.7906         42.0000        10.7777        511.2170       293.1329       248.8079       365.8276       365.8276       365.8276       192.9016       164.4789       178.6902       492.1933       429.1242       461.0099       0.2900         0.4885         14.9653        0.0795         0.8640         7.4866         5.8261         199.9049       
200.0000       9.7393         44.0000        10.8345        527.3003       301.2709       256.8249       376.6141       376.6141       376.6141       199.3008       170.1958       184.7483       508.2489       443.7433       476.3531       0.2892         0.4906         15.4111        0.0788         0.8550         7.5826         5.8958         203.0677       
200.0000       9.6897         46.0000        10.8899        543.3522       309.3873       264.8295       387.3756       387.3756       387.3756       205.6906       175.9038       190.7972       524.2774       458.3359       491.6696       0.2885         0.4925         15.8503        0.0781         0.8467         7.6768         5.9642         206.1710       
200.0000       9.6418         48.0000        10.9441        559.3729       317.4818       272.8225       398.1121       398.1121       398.1121       212.0717       181.6034       196.8376       540.2806       472.9034       506.9609       0.2878         0.4944         16.2834        0.0774         0.8389         7.7690         6.0313         209.2178       
200.0000       9.5952         50.0000        10.9972        575.3626       325.5541       280.8051       408.8236       408.8236       408.8236       218.4448       187.2952       202.8700       556.2598       487.4471       522.2284       0.2871         0.4962         16.7106        0.0768         0.8316         7.8595         6.0971         212.2107       
200.0000       9.5499         52.0000        11.0494        591.3215       333.6041       288.7783       419.5099       419.5099       419.5099       224.8105       192.9797       208.8951       572.2167       501.9685       537.4735       0.2865         0.4980         17.1324        0.0762         0.8247         7.9482         6.1617         215.1521       
200.0000       9.5056         54.0000        11.1009        607.2498       341.6315       296.7431       430.1709       430.1709       430.1709       231.1695       198.6574       214.9135       588.1528       516.4687       552.6978       0.2859         0.4996         17.5491        0.0756         0.8183         8.0352         6.2250         218.0441       
200.0000       9.4622         56.0000        11.1518        623.1476       349.6361       304.7005       440.8066       440.8066       440.8066       237.5226       204.3289       220.9258       604.0696       530.9491       567.9025       0.2853         0.5012         17.9610        0.0751         0.8123         8.1205         6.2871         220.8886       
200.0000       9.4196         58.0000        11.2023        639.0151       357.6176       312.6514       451.4168       451.4168       451.4168       243.8704       209.9948       226.9326       619.9685       545.4110       583.0891       0.2847         0.5027         18.3684        0.0746         0.8066         8.2041         6.3480         223.6874       
200.0000       9.3775         60.0000        11.2526        654.8525       365.5759       320.5970       462.0014       462.0014       462.0014       250.2135       215.6554       232.9344       635.8511       559.8554       598.2588       0.2842         0.5042         18.7717        0.0742         0.8012         8.2860         6.4076         226.4418       
300.0000       11.8140        0.0000         8.9319         157.5071       111.4664       72.0400        126.8133       126.8133       126.8133       52.4321        38.9035        45.6678        138.2437       105.8829       122.3202       0.3392         0.3601         2.6616         0.1481         1.7387         4.5842         3.7680         104.9398       
300.0000       11.6417        2.0000         9.0640         174.9208       120.7035       80.7467        138.7760       138.7760       138.7760       59.2915        45.0733        52.1824        155.7003       122.0106       139.1111       0.3329         0.3760         3.4384         0.1362         1.5772         4.7945         3.9129         111.8074       
300.0000       11.4833        4.0000         9.1891         192.1727       129.7868       89.3771        150.5821       150.5821       150.5821       66.1035        51.1861        58.6448        172.9961       137.9299       155.7192       0.3276         0.3895         4.1825         0.1272         1.4572         4.9896         4.0481         118.1758       
300.0000       11.3373        6.0000         9.3074         209.2845       138.7364       97.9400        162.2524       162.2524       162.2524       72.8736        57.2541        65.0639        190.1526       153.6854       172.1771       0.3231         0.4010         4.8980         0.1200         1.3640         5.1724         4.1752         124.1370       
300.0000       11.2026        8.0000         9.4193         226.2743       147.5697       106.4425       173.8046       173.8046       173.8046       79.6064        63.2854        71.4459        207.1871       169.3069       188.5077       0.3192         0.4111         5.5879         0.1142         1.2895         5.3447         4.2956         129.7578       
300.0000       11.0781        10.0000        9.5252         243.1573       156.3023       114.8907       185.2540       185.2540       185.2540       86.3054        69.2851        77.7953        224.1132       184.8151       204.7281       0.3158         0.4199         6.2548         0.1094         1.2283         5.5081         4.4101         135.0888       
300.0000       10.9626        12.0000        9.6255         259.9469       164.9486       123.2901       196.6147       196.6147       196.6147       92.9737        75.2571        84.1154        240.9427       200.2251       220.8515       0.3128         0.4278         6.9005         0.1053         1.1771         5.6638         4.5196         140.1691       
300.0000       10.8551        14.0000        9.7208         276.6551       173.5219       131.6456       207.8997       207.8997       207.8997       99.6140        81.2040        90.4090        257.6857       215.5483       236.8886       0.3101         0.4349         7.5267         0.1018         1.1336         5.8127         4.6246         145.0296       
300.0000       10.7547        16.0000        9.8116         293.2926       182.0350       139.9616       219.1209       219.1209       219.1209       106.2285       87.1277        96.6781        274.3510       230.7934       252.8480       0.3077         0.4412         8.1348         0.0988         1.0961         5.9557         4.7258         149.6951       
300.0000       10.6603        18.0000        9.8985         309.8697       190.4998       148.2425       230.2898       230.2898       230.2898       112.8195       93.0294        102.9245       290.9466       245.9674       268.7374       0.3055         0.4469         8.7257         0.0961         1.0636         6.0934         4.8234         154.1856       
300.0000       10.5709        20.0000        9.9822         326.3956       198.9282       156.4921       241.4174       241.4174       241.4174       119.3887       98.9103        109.1495       307.4799       261.0759       284.5630       0.3035         0.4521         9.3004         0.0938         1.0352         6.2261         4.9178         158.5177       
300.0000       10.4858        22.0000        10.0632        342.8783       207.3297       164.7138       252.5126       252.5126       252.5126       125.9380       104.7710       115.3545       323.9573       276.1238       300.3305       0.3018         0.4568         9.8597         0.0917         1.0102         6.3543         5.0093         162.7050       
