The SAM model uses the reference state from grossular.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
700.0000       11.0000        9.8524         386.1055       125.7251       105.8589       212.6184       114.9431       292.2645       
700.0000       12.0000        9.8068         392.5390       128.9975       106.6464       216.9410       116.0182       295.4811       
700.0000       13.0000        9.7573         398.8952       132.2764       107.4172       221.2423       117.0673       298.6278       
700.0000       14.0000        9.7067         405.1758       135.5621       108.1719       225.5229       118.0909       301.7057       
700.0000       15.0000        9.6583         411.3825       138.8551       108.9106       229.7838       119.0895       304.7164       
700.0000       16.0000        9.6161         417.5170       142.1562       109.6339       234.0260       120.0636       307.6612       
700.0000       17.0000        9.5703         423.5756       145.4637       110.3409       238.2473       121.0123       310.5379       
700.0000       18.0000        9.5431         429.5673       148.7812       111.0334       242.4529       121.9379       313.3524       
700.0000       19.0000        9.5016         435.4792       152.1036       111.7090       246.6352       122.8374       316.0971       
700.0000       20.0000        9.4653         441.3192       155.4340       112.3692       250.7989       123.7127       318.7768       
700.0000       21.0000        9.4284         447.0854       158.7714       113.0137       254.9427       124.5633       321.3907       
700.0000       22.0000        9.3883         452.7769       162.1154       113.6423       259.0661       125.3893       323.9384       
700.0000       23.0000        9.3550         458.3977       165.4677       114.2557       263.1714       126.1914       326.4223       
700.0000       24.0000        9.3193         463.9444       168.8267       114.8534       267.2565       126.9691       328.8407       
700.0000       25.0000        9.2769         469.4159       172.1919       115.4353       271.3207       127.7222       331.1932       
800.0000       0.0000         10.4799        305.7486       88.9735        95.0987        161.3957       100.1237       248.9616       
800.0000       1.0000         10.4223        313.1166       92.1709        96.0970        165.9787       101.5250       253.0597       
800.0000       2.0000         10.3664        320.4042       95.3750        97.0777        170.5393       102.8980       257.0792       
800.0000       3.0000         10.3077        327.6096       98.5850        98.0404        175.0767       104.2424       261.0197       
800.0000       4.0000         10.2484        334.7346       101.8014       98.9855        179.5915       105.5589       264.8830       
800.0000       5.0000         10.1983        341.7851       105.0258       99.9144        184.0869       106.8491       268.6741       
800.0000       6.0000         10.1432        348.7537       108.2560       100.8253       188.5589       108.1113       272.3885       
800.0000       7.0000         10.0875        355.6433       111.4928       101.7192       193.0090       109.3464       276.0288       
800.0000       8.0000         10.0345        362.4561       114.7366       102.5963       197.4383       110.5549       279.5971       
800.0000       9.0000         9.9853         369.1931       117.9878       103.4570       201.8473       111.7375       283.0944       
800.0000       10.0000        9.9344         375.8518       121.2454       104.3007       206.2345       112.8933       286.5196       
800.0000       11.0000        9.8842         382.4337       124.5099       105.1278       210.6007       114.0231       289.8741       
800.0000       12.0000        9.8379         388.9409       127.7819       105.9388       214.9471       115.1273       293.1597       
800.0000       13.0000        9.7877         395.3698       131.0601       106.7329       219.2715       116.2052       296.3744       
800.0000       14.0000        9.7364         401.7220       134.3449       107.5105       223.5749       117.2574       299.5197       
800.0000       15.0000        9.6874         407.9996       137.6371       108.2721       227.8583       118.2843       302.5971       
800.0000       16.0000        9.6446         414.2047       140.9371       109.0180       232.1228       119.2865       305.6083       
800.0000       17.0000        9.5982         420.3328       144.2435       109.7475       236.3660       120.2631       308.5507       
800.0000       18.0000        9.5702         426.3944       147.5601       110.4625       240.5937       121.2165       311.4309       
800.0000       19.0000        9.5281         432.3747       150.8812       111.1602       244.7975       122.1435       314.2402       
800.0000       20.0000        9.4912         438.2827       154.2102       111.8425       248.9824       123.0461       316.9843       
800.0000       21.0000        9.4537         444.1162       157.5461       112.5088       253.1471       123.9238       319.6620       
800.0000       22.0000        9.4130         449.8743       160.8885       113.1590       257.2911       124.7767       322.2729       
800.0000       23.0000        9.3791         455.5613       164.2391       113.7941       261.4168       125.6056       324.8199       
800.0000       24.0000        9.3428         461.1736       167.5963       114.4132       265.5221       126.4098       327.3008       
800.0000       25.0000        9.2998         466.7098       170.9595       115.0164       269.6060       127.1892       329.7152       
900.0000       0.0000         10.5197        301.1923       87.7529        94.0893        159.0862       98.8584        245.7537       
900.0000       1.0000         10.4613        308.6467       90.9515        95.1146        163.6981       100.2931       249.9311       
900.0000       2.0000         10.4046        316.0193       94.1566        96.1218        168.2872       101.6990       254.0287       
900.0000       3.0000         10.3452        323.3080       97.3674        97.1106        172.8522       103.0759       258.0459       
900.0000       4.0000         10.2851        330.5148       100.5844       98.0815        177.3941       104.4242       261.9849       
900.0000       5.0000         10.2343        337.6466       103.8094       99.0358        181.9163       105.7462       265.8510       
900.0000       6.0000         10.1784        344.6948       107.0400       99.9719        186.4145       107.0395       269.6392       
900.0000       7.0000         10.1221        351.6628       110.2768       100.8905       190.8902       108.3053       273.3522       
900.0000       8.0000         10.0683        358.5530       113.5207       101.7922       195.3448       109.5443       276.9925       
